Time[s],Electron Density [m^-3],Argon Density [m^-3],AR4SM,AR4SR,AR4SPM,AR4SPR,AR4P,AR4D,AR+,AR2*,AR2+
5.00000006675716e-11,1000000000.0,2.3967664635656536e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.000000013351432e-10,10384968704.0,2.3967664635656536e+19,567493504.0,797518144.0,101733160.0,724506112.0,2927934464.0,46363436.0,388434400.0,3430714.25,790960.125
2.0136810274795636e-10,13629363200.0,2.3967664635656536e+19,3256281600.0,4451724800.0,594799424.0,4343578624.0,18551244800.0,366886112.0,3491328000.0,76750224.0,25219812.0
3.0412303231308613e-10,19824865280.0,2.3967664635656536e+19,7603868672.0,10379751424.0,1404604288.0,10361434112.0,44229844992.0,940231168.0,9201320960.0,303687040.0,111730512.0
4.0828376790535964e-10,28539191296.0,2.3967664635656536e+19,13874119680.0,19081932800.0,2585056000.0,19139248128.0,80415686656.0,1740962176.0,16940962816.0,764933760.0,289552608.0
5.138695025053153e-10,39410606080.0,2.3967664635656536e+19,22311073792.0,31028379648.0,4187277312.0,31024105472.0,127523446784.0,2748159488.0,26230845440.0,1548541056.0,578123456.0
6.208998315493374e-10,52207341568.0,2.3967664635656536e+19,33118572544.0,46632185856.0,6255797248.0,46322135040.0,185822740480.0,3946903040.0,36742529024.0,2749127168.0,989720064.0
7.293943782293866e-10,66751508480.0,2.3967664635656536e+19,46477963264.0,66273325056.0,8831330304.0,65322475520.0,255442092032.0,5324776960.0,48216158208.0,4466987008.0,1531526144.0
8.393732930933595e-10,82901549056.0,2.3967664635656536e+19,62563172352.0,90317594624.0,11953321984.0,88316911616.0,336434331648.0,6871670784.0,60440723456.0,6807378432.0,2206462720.0
9.508568377114557e-10,100589051904.0,2.396766243663328e+19,81526882304.0,119104995328.0,15658096640.0,115567869952.0,428851101696.0,8580861952.0,73287245824.0,9880355840.0,3014695680.0
1.0638655512096307e-09,119765409792.0,2.396766243663328e+19,103515463680.0,152968298496.0,19981158400.0,147332907008.0,532720975872.0,10446741504.0,86652493824.0,13800677376.0,3954504448.0
1.1784203612918984e-09,140395610112.0,2.396766243663328e+19,128671866880.0,192237125632.0,24957673472.0,183868227584.0,648058241024.0,12464547840.0,100451590144.0,18687748096.0,5022734336.0
1.29454247321803e-09,162454274048.0,2.396766243663328e+19,157136994304.0,237240025088.0,30622699520.0,225430126592.0,774865944576.0,14630154240.0,114613313536.0,24665604096.0,6215126528.0
1.4122532032700972e-09,185923223552.0,2.396766243663328e+19,189050650624.0,288305840128.0,37011337216.0,272275849216.0,913138843648.0,16939927552.0,129077067776.0,31862929408.0,7526587904.0
1.5315743118193834e-09,210743902208.0,2.396766243663328e+19,224562053120.0,345771180032.0,44160090112.0,324679630848.0,1062782369792.0,19387852800.0,143745777664.0,40412590080.0,8951176192.0
1.6525278923040787e-09,236863930368.0,2.396766243663328e+19,263832174592.0,409984565248.0,52107554816.0,382935498752.0,1223715979264.0,21968857088.0,158534582272.0,50452148224.0,10481472512.0
1.7751362602069774e-09,264281784320.0,2.3967660237610025e+19,307000082432.0,481274429440.0,60889112576.0,447306596352.0,1395903168512.0,24680542208.0,173412990976.0,62123192320.0,12109801472.0
1.8994219530554797e-09,292997169152.0,2.3967660237610025e+19,354205237248.0,559971827712.0,70540394496.0,518058049536.0,1579300552704.0,27520614400.0,188353462272.0,75572076544.0,13828494336.0
