feature,feature_label,target_column,reaction_id,reaction_label,spearman_rho,abs_spearman_rho,p_value
log10_e_over_n,log10_e_over_n,rate_const_033,33,AR4SPM > AR4SM,-0.9991940421455507,0.9991940421455507,0.0
log10_e_over_n,log10_e_over_n,rate_const_034,34,AR4SPM > AR4SR,-0.9991940421455507,0.9991940421455507,0.0
log10_e_over_n,log10_e_over_n,rate_const_025,25,AR4SR > AR4SM,-0.9991940421455507,0.9991940421455507,0.0
log10_e_over_n,log10_e_over_n,rate_const_041,41,AR4SPR > AR4SM,-0.9991940421455507,0.9991940421455507,0.0
log10_e_over_n,log10_e_over_n,rate_const_042,42,AR4SPR > AR4SR,-0.9991940421455507,0.9991940421455507,0.0
log10_e_over_n,log10_e_over_n,rate_const_061,61,"AR4D > AR4P,3D,5S,5P",0.9991591327719078,0.9991591327719078,0.0
log10_e_over_n,log10_e_over_n,rate_const_024,24,AR4SR > AR3S,0.9991534853031314,0.9991534853031314,0.0
log10_e_over_n,log10_e_over_n,rate_const_097,97,H2+ > H+ + H,0.9991521772827806,0.9991521772827806,0.0
log10_e_over_n,log10_e_over_n,rate_const_074,74,H*  > H,0.9991266214556587,0.9991266214556587,0.0
log10_e_over_n,log10_e_over_n,rate_const_040,40,AR4SPR > AR3S,0.9991034788660055,0.9991034788660055,0.0
log10_e_over_n,log10_e_over_n,rate_const_073,73,H* -ELASTIC,0.9991021297405505,0.9991021297405505,0.0
log10_e_over_n,log10_e_over_n,rate_const_194,194,O-MOMENTUM,0.9990716874470975,0.9990716874470975,0.0
log10_e_over_n,log10_e_over_n,rate_const_020,20,"AR4SM>AR4P,3D,5S,5P",0.9990690058267409,0.9990690058267409,0.0
log10_e_over_n,log10_e_over_n,rate_const_172,172,O2-MOMENTUM,0.9990586600440474,0.9990586600440474,0.0
log10_e_over_n,log10_e_over_n,rate_const_064,64,AR+ -RECOMBINATION,-0.9990534846559724,0.9990534846559724,0.0
log10_e_over_n,log10_e_over_n,rate_const_056,56,AR4D > AR3S,0.9990531652768841,0.9990531652768841,0.0
log10_e_over_n,log10_e_over_n,rate_const_102,102,H3+ > H + H2,-0.9990506233746413,0.9990506233746413,0.0
log10_e_over_n,log10_e_over_n,rate_const_098,98,H2+ > H + H,-0.9990463325278249,0.9990463325278249,0.0
log10_e_over_n,log10_e_over_n,rate_const_043,43,AR4SPR > AR4SPM,-0.9990347726978628,0.9990347726978628,0.0
log10_e_over_n,log10_e_over_n,rate_const_047,47,AR4P-ELASTIC,0.9990302453097333,0.9990302453097333,0.0
log10_e_over_n,log10_e_over_n,rate_const_169,169,H2O2-MOM,0.9990302453097333,0.9990302453097333,0.0
log10_e_over_n,log10_e_over_n,rate_const_015,15,AR4SM-ELASTIC,0.9990273814651347,0.9990273814651347,0.0
log10_e_over_n,log10_e_over_n,rate_const_079,79,H+ -RECOMBINATION,-0.9990207677865125,0.9990207677865125,0.0
