feature,species_label,is_constant,nonzero_fraction,mean_value,std_value,variance_value,n_unique
input_02_ar3s,AR3S,False,1.0,0.9799809523809526,3.926767262492578e-05,1.5419501133783455e-09,2
input_24_h2o,H2O,False,1.0,0.01993904761904762,3.7404451212677366e-05,1.3990929705215613e-09,14
input_12_h,H,False,0.9523809523809523,3.029257142857143e-05,1.852178376057418e-05,3.430564736734694e-10,21
input_20_oh,OH,False,0.9523809523809523,2.3845057142857144e-05,1.674006167618414e-05,2.80229664922449e-10,21
input_25_h2ov,H2OV,False,0.9523809523809523,2.2496857142857145e-05,1.4865259753903409e-05,2.209759475510204e-10,21
input_28_h2o2,H2O2,False,0.9523809523809523,5.916399371428572e-06,6.192375410707942e-06,3.834551322714036e-11,16
input_16_h2,H2,False,0.9523809523809523,3.6036523809523805e-06,3.3519047060864973e-06,1.1235265158684807e-11,21
input_04_ar4sr,AR4SR,False,0.9523809523809523,1.2279857142857144e-06,4.1325302901055006e-07,1.7077806598639452e-13,21
input_06_ar4spr,AR4SPR,False,0.9523809523809523,9.93442857142857e-07,3.30293280313736e-07,1.0909365102040817e-13,18
input_30_o2,O2,False,0.9523809523809523,2.9955739562264756e-07,3.141589470490529e-07,9.869584401096962e-14,19
input_10_ar2,AR2*,False,0.9523809523809523,7.799619047619048e-07,3.0140086023227076e-07,9.084247854875282e-14,20
input_29_h3o,H3O^,False,0.9523809523809523,5.043861904761905e-07,2.791397010284446e-07,7.791897269024944e-14,21
input_23_oh,OH-,False,0.9523809523809523,3.4683238095238097e-07,2.2060348024075022e-07,4.8665895494331075e-14,20
input_07_ar4p,AR4P,False,0.9523809523809523,5.928428571428571e-07,2.1028169671369195e-07,4.421839197278912e-14,21
input_03_ar4sm,AR4SM,False,0.9523809523809523,6.011904761904761e-07,2.0123753059213597e-07,4.049654371882086e-14,21
input_33_o,O,False,0.9523809523809523,2.1686657238095234e-07,1.9856662211863354e-07,3.9428703419604205e-14,21
input_21_oh,OH*,False,0.9523809523809523,2.4040399999999996e-07,1.7231693342570281e-07,2.969312554523809e-14,21
input_05_ar4spm,AR4SPM,False,0.9523809523809523,1.3710238095238093e-07,4.581302329965656e-08,2.098833103854875e-15,17
input_01_e,E,False,1.0,1.289014305185714e-07,3.5313473157655544e-08,1.2470413864564585e-15,21
input_35_o,O-,False,0.9523809523809523,5.3092095238095234e-08,3.4015378268554276e-08,1.1570459587528345e-15,21
input_09_ar,AR^,False,0.9523809523809523,1.5027190476190475e-08,6.576585216248321e-09,4.3251473106575975e-17,21
input_26_h2o,H2O^,False,1.0,1.056595432809524e-08,3.921555503273739e-09,1.537859756525655e-17,21
input_27_ho2,HO2,False,0.9523809523809523,3.192775603857143e-09,3.36961324659574e-09,1.1354293431633484e-17,21
input_08_ar4d,AR4D,False,0.9523809523809523,7.736809523809526e-09,2.4917579302104047e-09,6.2088575827664404e-18,21
input_13_h,H*,False,0.9523809523809523,1.673006476190476e-09,1.5767134821238772e-09,2.486025404711202e-18,21
input_15_h,H-,False,0.9523809523809523,4.32847619047619e-09,1.2375536782604478e-09,1.5315391065759641e-18,21
input_11_ar2,AR2^,False,0.9523809523809523,3.1510428571428576e-09,1.1367144553163604e-09,1.29211975292517e-18,20
input_17_h2,H2*,False,0.9523809523809523,2.9839658714285704e-10,3.782696455431653e-10,1.4308792473935193e-19,21
input_19_h3,H3^,False,0.9523809523809523,8.422423761904762e-12,9.635968672345654e-12,9.285189225442685e-23,21
input_31_o2,O2^,False,0.9523809523809523,3.3997597219047627e-12,4.233622594771527e-12,1.792356027496e-23,21
input_32_o2,O2-,False,0.9523809523809523,2.227313231091225e-12,2.678769905274558e-12,7.175808205404664e-24,21
input_22_oh,OH^,False,0.9523809523809523,1.947629047619048e-12,1.1068336461830669e-12,1.2250807203229027e-24,21
input_14_h,H^,False,0.9523809523809523,7.488928571428572e-13,5.066703347969618e-13,2.567148281632653e-25,21
input_18_h2,H2^,False,0.9523809523809523,1.744875238095238e-13,1.8528542784646997e-13,3.433068977224943e-26,21
input_34_o,O^,False,0.9523809523809523,8.692095714285714e-15,9.099945845390704e-15,8.280901438904354e-29,21
input_36_hv_096,HV_096,True,0.0,0.0,0.0,0.0,1
input_37_hv_106,HV_106,True,0.0,0.0,0.0,0.0,1
input_38_hv_126,HV_126,True,0.0,0.0,0.0,0.0,1
input_39_one,ONE,True,0.0,0.0,0.0,0.0,1
input_40_te,TE,True,0.0,0.0,0.0,0.0,1
input_41_tgas,TGAS,True,0.0,0.0,0.0,0.0,1
input_42_eb,EB,True,0.0,0.0,0.0,0.0,1
input_43_pos,POS,True,0.0,0.0,0.0,0.0,1
input_44_position,POSITION,True,0.0,0.0,0.0,0.0,1
input_45_speed,SPEED,True,0.0,0.0,0.0,0.0,1
input_46_edep,EDEP,True,0.0,0.0,0.0,0.0,1
input_47_pdep,PDEP,True,0.0,0.0,0.0,0.0,1
input_48_m,M,True,0.0,0.0,0.0,0.0,1
input_49_mis,MIS,True,0.0,0.0,0.0,0.0,1
