feature_a,label_a,feature_b,label_b,correlation,abs_correlation
rate_const_198,O-3s 3S0,rate_const_142,E + H2O > H + OH(A) + E,0.999998476552589,0.999998476552589
rate_const_116,OH-A3SIGMA,rate_const_161,E + H2OV > H + OH(A) + E,0.9999979051830974,0.9999979051830974
rate_const_089,H2 > H + H,rate_const_116,OH-A3SIGMA,0.9999978657171279,0.9999978657171279
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_161,E + H2OV > H + OH(A) + E,0.9999978015519773,0.9999978015519773
rate_const_115,OH-A3PI,rate_const_184,O2-ELECTRONIC 6EV,0.9999977254010188,0.9999977254010188
rate_const_116,OH-A3SIGMA,rate_const_087,H2 > H2(b 3 SIGMA),0.9999976675136405,0.9999976675136405
rate_const_089,H2 > H + H,rate_const_161,E + H2OV > H + OH(A) + E,0.9999975212981439,0.9999975212981439
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_142,E + H2O > H + OH(A) + E,0.9999967084343602,0.9999967084343602
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_198,O-3s 3S0,0.9999949970790271,0.9999949970790271
rate_const_089,H2 > H + H,rate_const_087,H2 > H2(b 3 SIGMA),0.999994101448143,0.999994101448143
rate_const_198,O-3s 3S0,rate_const_161,E + H2OV > H + OH(A) + E,0.9999935647284909,0.9999935647284909
rate_const_161,E + H2OV > H + OH(A) + E,rate_const_142,E + H2O > H + OH(A) + E,0.9999931597000103,0.9999931597000103
rate_const_108,OH-A1PI,rate_const_142,E + H2O > H + OH(A) + E,0.9999921158855654,0.9999921158855654
rate_const_108,OH-A1PI,rate_const_087,H2 > H2(b 3 SIGMA),0.9999910757431365,0.9999910757431365
rate_const_090,H2 > H2+,rate_const_012,AR3S > AR-RYD,0.999990940392552,0.999990940392552
rate_const_116,OH-A3SIGMA,rate_const_142,E + H2O > H + OH(A) + E,0.9999908174588041,0.9999908174588041
rate_const_154,E + H2OV > OH + H + E,rate_const_135,E + H2O > OH + H + E,0.9999903401669852,0.9999903401669852
rate_const_116,OH-A3SIGMA,rate_const_198,O-3s 3S0,0.9999900740042329,0.9999900740042329
rate_const_108,OH-A1PI,rate_const_161,E + H2OV > H + OH(A) + E,0.9999892662957877,0.9999892662957877
