target_column,reaction_id,reaction_label,mean_spearman_rho,median_spearman_rho,mean_abs_spearman_rho,positive_group_count_rho_gt_0_7,negative_group_count_rho_lt_neg_0_7,significant_group_count_p_lt_0_05
rate_const_103,103,H3+ > H2 + H,-0.9999999999999998,-0.9999999999999998,0.9999999999999998,0,21,21
rate_const_015,15,AR4SM-ELASTIC,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_056,56,AR4D > AR3S,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_055,55,AR4D-ELASTIC,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_067,67,AR2+ -RECOMBINATION,-0.9999999999999998,-0.9999999999999998,0.9999999999999998,0,21,21
rate_const_047,47,AR4P-ELASTIC,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_073,73,H* -ELASTIC,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_074,74,H*  > H,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_040,40,AR4SPR > AR3S,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_097,97,H2+ > H+ + H,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_024,24,AR4SR > AR3S,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_104,104,H3+ > H + H + H,-0.9999999999999998,-0.9999999999999998,0.9999999999999998,0,21,21
rate_const_031,31,AR4SPM-ELASTIC,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_061,61,"AR4D > AR4P,3D,5S,5P",0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_169,169,H2O2-MOM,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_194,194,O-MOMENTUM,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_191,191,O2+ -RECOMBINATION,-0.9999999999999998,-0.9999999999999998,0.9999999999999998,0,21,21
rate_const_168,168,H2O+ -RECOMBINATION,-0.9999999999999998,-0.9999999999999998,0.9999999999999998,0,21,21
rate_const_172,172,O2-MOMENTUM,0.9999999999999998,0.9999999999999998,0.9999999999999998,21,0,21
rate_const_080,80,H- -ELASTIC,-0.9999941352241146,-0.9999999999999998,0.9999941352241146,0,21,21
