target_column,reaction_id,reaction_label,total_variance,group_share,local_case_share,interaction_share,dominant_source
rate_const_014,14,AR3S > AR^^,160660.64533698565,2.0114101002891823e-12,0.9999999999805763,1.7412528831533085e-11,local_case_share
rate_const_151,151,E + H2OV > H- + OH + E,133691.27029279977,2.422060611120697e-10,0.9999999973776531,2.380140735647745e-09,local_case_share
rate_const_132,132,E + H2O > H- + OH + E,133600.94396060868,2.980889327861505e-10,0.9999999969274654,2.774445551632152e-09,local_case_share
rate_const_115,115,OH-A3PI,147602.37494757617,5.754324593013417e-10,0.9999999959241365,3.500431111558553e-09,local_case_share
rate_const_184,184,O2-ELECTRONIC 6EV,141581.36771893673,6.275570590660987e-10,0.9999999954719866,3.900456301908897e-09,local_case_share
rate_const_095,95,H2*  > H2^,147738.85086308618,7.510040718336359e-10,0.9999999950050822,4.24391428911163e-09,local_case_share
rate_const_154,154,E + H2OV > OH + H + E,142056.30285537738,5.598189265838131e-10,0.9999999942335299,5.20665105905964e-09,local_case_share
rate_const_135,135,E + H2O > OH + H + E,141625.90833779724,3.096630030388296e-10,0.999999986686971,1.3003365781417364e-08,local_case_share
rate_const_076,76,H*  > H***,131674.38509155498,1.1860950632588943e-09,0.9999999769594038,2.185450104985597e-08,local_case_share
rate_const_204,204,O- Detachment,131533.10596554948,1.8354124026510894e-09,0.9999999721495733,2.6015014221812064e-08,local_case_share
rate_const_045,45,"AR4SPR > AR4D,6S,RYD",132534.5050947289,1.2640120896311606e-09,0.999999970165509,2.8570479157358096e-08,local_case_share
rate_const_037,37,"AR4SPM > AR4D,6S,RYD",132360.33972173312,1.3279395945889312e-09,0.9999999656617415,3.301031885040988e-08,local_case_share
rate_const_185,185,O2-ELECTRONIC 8.4EV,145393.4255706296,3.537444844308051e-10,0.9999999634235404,3.6222715263550514e-08,local_case_share
rate_const_029,29,"AR4SR > AR4D,6S,RYD",132201.72524820798,1.4195723108541908e-09,0.9999999597317898,3.884863758161148e-08,local_case_share
rate_const_054,54,AR4P > AR^,135701.14054923048,1.4669658399303096e-09,0.9999999570551174,4.147791643827199e-08,local_case_share
rate_const_021,21,"AR4SM > AR4D,6S,RYD",132083.48421767107,1.5646637821669164e-09,0.9999999533989709,4.503636523491334e-08,local_case_share
rate_const_127,127,OH- -DETACH,132675.5418646589,1.700084879649445e-09,0.999999947055916,5.124399891118599e-08,local_case_share
rate_const_077,77,H*  > H^,134673.73687177972,2.9770720733890126e-09,0.9999998888618898,1.0816103797711822e-07,local_case_share
rate_const_193,193,E + O2- > O2 + E + E,132497.60341885732,1.4506588653182032e-08,0.9999994698081901,5.156852211336098e-07,local_case_share
rate_const_181,181,O2-VIB 1(res),122688.94042925283,1.4551697805944724e-08,0.9999994652464592,5.202018428007731e-07,local_case_share
rate_const_182,182,O2-VIB 2(res),120462.64480723317,1.4880982381793482e-08,0.9999994552074188,5.299115984662687e-07,local_case_share
rate_const_153,153,E + H2OV > OH- + H + E,106733.88339206546,1.9777148062649098e-08,0.9999992941241984,6.860986536276323e-07,local_case_share
rate_const_023,23,AR4SR-ELASTIC,11.445036842221274,1.6872611153033583e-07,0.9999992938326534,5.374412322173012e-07,local_case_share
rate_const_161,161,E + H2OV > H + OH(A) + E,135578.6316026648,1.900709799920038e-08,0.9999992281973049,7.52795597208914e-07,local_case_share
rate_const_089,89,H2 > H + H,142697.86556570866,2.1719076091222466e-08,0.9999991379043293,8.403765946744989e-07,local_case_share
rate_const_116,116,OH-A3SIGMA,138917.65716024025,2.2359423428017178e-08,0.9999991080639127,8.695766638254721e-07,local_case_share
rate_const_108,108,OH-A1PI,141189.65660929983,2.4321898773870074e-08,0.9999990498079413,9.258701602622499e-07,local_case_share
rate_const_196,196,O-1S,118307.17242937369,2.7910682500850154e-08,0.9999990363709271,9.357183905303476e-07,local_case_share
rate_const_152,152,E + H2OV > O- + H2 + E,110532.5249146985,2.7009533218770523e-08,0.9999990357651038,9.372253628731985e-07,local_case_share
rate_const_117,117,OH-D3DELTA,131796.5893767231,2.7982770345320423e-08,0.9999989189496993,1.0530675304072038e-06,local_case_share
rate_const_046,46,AR4SPR > AR^,132900.37107128146,3.312669042832307e-08,0.9999988534505753,1.1134227343277946e-06,local_case_share
rate_const_087,87,H2 > H2(b 3 SIGMA),138111.1539102457,3.76974989721331e-08,0.9999986015728172,1.3607296838874738e-06,local_case_share
rate_const_038,38,AR4SPM > AR^,132648.6708242466,4.754745390523937e-08,0.9999983900260667,1.562426479699612e-06,local_case_share
rate_const_134,134,E + H2O > OH- + H + E,106590.95475421914,5.6869591667297695e-08,0.9999980844546807,1.8586757274122116e-06,local_case_share
rate_const_030,30,AR4SR > AR^,132414.25304038668,6.599271566719992e-08,0.9999978013816955,2.1326255890882614e-06,local_case_share
rate_const_142,142,E + H2O > H + OH(A) + E,135136.0422071759,7.458751920656068e-08,0.9999974017129767,2.5236995037803537e-06,local_case_share
rate_const_022,22,AR4SM > AR^,132236.1740428693,8.428545402753959e-08,0.9999972311000972,2.6846144490072475e-06,local_case_share
rate_const_133,133,E + H2O > O- + H2 + E,110330.89433465725,8.795883447515522e-08,0.9999970745036888,2.837537476666468e-06,local_case_share
rate_const_118,118,OH-E3SIGMA,130094.78429521876,8.806342620680095e-08,0.9999969601682847,2.9517682889321754e-06,local_case_share
rate_const_183,183,O2-ELECTRONIC 4.5EV,119940.6954998937,1.1064789518711498e-07,0.9999964303226773,3.459029427525362e-06,local_case_share
rate_const_198,198,O-3s 3S0,135925.0717244226,1.145528140205031e-07,0.9999961419251879,3.7435219981913314e-06,local_case_share
rate_const_197,197,O-3s 5S0,131157.27548921228,1.2560928931328796e-07,0.9999957786775205,4.0957131904273e-06,local_case_share
rate_const_119,119,OH-B3SIGMA,130708.08093287218,1.7530880478596844e-07,0.9999942333322516,5.5913589435302225e-06,local_case_share
rate_const_039,39,AR4SPR-ELASTIC,30.557382026560923,5.826262429011603e-07,0.9999921525961217,7.2647776344073266e-06,local_case_share
rate_const_001,1,AR3S-ELASTIC,345.3585587011442,4.16923510607188e-07,0.9999897438750538,9.839201435737309e-06,local_case_share
rate_const_173,173,O2-ATTACHMENT TWO BODY,113110.59906620323,3.705535775493798e-07,0.9999886622654252,1.0967180997035168e-05,local_case_share
rate_const_099,99,H2+ > H+ + H-,52.92157044193599,9.819859190354843e-07,0.9999878330011558,1.1185012925370049e-05,local_case_share
rate_const_043,43,AR4SPR > AR4SPM,64.80188445176947,5.857984046128183e-07,0.9999869051181264,1.2509083469941069e-05,local_case_share
rate_const_104,104,H3+ > H + H + H,296.7744966779955,8.799235652775527e-07,0.9999864181988661,1.2701877569147226e-05,local_case_share
rate_const_103,103,H3+ > H2 + H,296.77869397379027,8.740427221412141e-07,0.9999864161368376,1.27098204421622e-05,local_case_share
rate_const_041,41,AR4SPR > AR4SM,0.4461689692411658,6.812340017403646e-07,0.999981279684465,1.8039081525781526e-05,local_case_share
rate_const_042,42,AR4SPR > AR4SR,0.4461689692411658,6.812340017403646e-07,0.999981279684465,1.8039081525781526e-05,local_case_share
rate_const_034,34,AR4SPM > AR4SR,0.4461689692411658,6.812340017403646e-07,0.999981279684465,1.8039081525781526e-05,local_case_share
rate_const_033,33,AR4SPM > AR4SM,0.4461689692411658,6.812340017403646e-07,0.999981279684465,1.8039081525781526e-05,local_case_share
rate_const_025,25,AR4SR > AR4SM,0.4461689692411658,6.812340017403646e-07,0.9999812796844636,1.8039081525781526e-05,local_case_share
rate_const_113,113,OH-I1SIGMA,129901.0459887242,6.115383875188687e-07,0.999981079997184,1.8308464428435767e-05,local_case_share
rate_const_069,69,H > H*,139715.70931111497,6.482688369023215e-07,0.999980038615423,1.9313115740362315e-05,local_case_share
rate_const_186,186,O2-ELECTRONIC 10EV,126471.63387915716,6.517997475959148e-07,0.9999798543608923,1.949383936010569e-05,local_case_share
rate_const_098,98,H2+ > H + H,70.33188974747603,1.0035520069239497e-06,0.9999775070759332,2.1489372059558913e-05,local_case_share
rate_const_194,194,O-MOMENTUM,128.24613021233813,8.403129959433627e-07,0.9999757832611904,2.3376425813189723e-05,local_case_share
rate_const_056,56,AR4D > AR3S,139.14126199742924,8.534827487542029e-07,0.999974542015299,2.4604501951849193e-05,local_case_share
rate_const_040,40,AR4SPR > AR3S,140.67364048771594,8.705121968546061e-07,0.9999741564668403,2.4973020962424596e-05,local_case_share
rate_const_150,150,E + H2OV(001) > H2O+E x 1e-10,26.284574834600154,1.8467071807467187e-07,0.99997411983377,2.5695495505960224e-05,local_case_share
rate_const_102,102,H3+ > H + H2,59.17362912170516,1.0915878252945234e-06,0.9999730908399538,2.581757222197226e-05,local_case_share
rate_const_148,148,E + H2OV(100) > H2O+E x 1e-10,23.44047616210444,1.9560301375039282e-07,0.9999726522695139,2.7152127468443156e-05,local_case_share
rate_const_166,166,E + H2OV > H2O+E (average),14.038836359154931,3.624946493690833e-06,0.9999718678819044,2.4507171604881737e-05,local_case_share
rate_const_055,55,AR4D-ELASTIC,103.94515717140953,1.0095349758565686e-06,0.9999707220708073,2.8268394216938618e-05,local_case_share
rate_const_016,16,AR4SM > AR3S,107.01063111178652,1.0903911662938987e-06,0.9999684494105637,3.0460198272411286e-05,local_case_share
rate_const_074,74,H*  > H,103.5314205920697,1.1404893911736867e-06,0.9999674211003196,3.1438410289624256e-05,local_case_share
rate_const_032,32,AR4SPM > AR3S,101.2898480333439,1.1611354297410643e-06,0.9999667377874839,3.210107708577648e-05,local_case_share
rate_const_191,191,O2+ -RECOMBINATION,86.33491964480265,1.5150851310525083e-06,0.9999662854653545,3.2199449515509554e-05,local_case_share
rate_const_168,168,H2O+ -RECOMBINATION,86.3338342721971,1.4989614287092086e-06,0.9999662642708137,3.223676775771916e-05,local_case_share
rate_const_067,67,AR2+ -RECOMBINATION,86.3338342721971,1.4989614287092086e-06,0.9999662642708137,3.223676775771916e-05,local_case_share
rate_const_064,64,AR+ -RECOMBINATION,86.33553613288171,1.507562677123587e-06,0.9999662328691497,3.225956817221244e-05,local_case_share
rate_const_079,79,H+ -RECOMBINATION,86.33549792667634,1.5316348371949469e-06,0.9999662222337111,3.224613145116874e-05,local_case_share
rate_const_094,94,H2*  > H2,88.70221871510465,1.250407143748171e-06,0.9999660761428626,3.267344999482158e-05,local_case_share
rate_const_047,47,AR4P-ELASTIC,86.81054839565019,1.2180685634409004e-06,0.999965109131397,3.36728000398492e-05,local_case_share
rate_const_169,169,H2O2-MOM,86.81054839565019,1.2180685634409004e-06,0.999965109131397,3.36728000398492e-05,local_case_share
rate_const_112,112,OH-B1SIGMA,127318.73171198601,1.1512390099073462e-06,0.9999650469951531,3.380176583710586e-05,local_case_share
rate_const_057,57,AR4D > AR4SM,103.9974636168203,1.443109039610366e-06,0.9999576096376644,4.0947253295136086e-05,local_case_share
rate_const_059,59,AR4D > AR4SPM,106.85924314672677,1.4283803354412987e-06,0.9999572449421107,4.1326677554892865e-05,local_case_share
rate_const_058,58,AR4D > AR4SR,105.18448942794197,1.4174881729276034e-06,0.9999572029371369,4.137957468854777e-05,local_case_share
rate_const_060,60,AR4D > AR4SPR,108.81179950717902,1.4431315042011597e-06,0.9999571922574139,4.136461108143808e-05,local_case_share
rate_const_049,49,AR4P > AR4SM,123.99880953654093,1.6841966156471361e-06,0.9999555427766457,4.2773026737998777e-05,local_case_share
rate_const_199,199,O-3p 5P,129371.16654106477,1.4969341236161864e-06,0.9999548205673899,4.368249848636151e-05,local_case_share
rate_const_050,50,AR4P > AR4SR,119.4400059154315,1.7822046439603273e-06,0.9999534201067314,4.4797688623280304e-05,local_case_share
