component_index,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.8768615837341852,0.8768615837341852
2,0.06335596383734533,0.9402175475715305
3,0.03055722156801219,0.9707747691395427
4,0.013065013547671575,0.9838397826872143
5,0.005380930943341134,0.9892207136305554
6,0.004302495318700122,0.9935232089492555
7,0.001904402320612332,0.9954276112698678
8,0.0016938524315887411,0.9971214637014565
9,0.0010584397592879756,0.9981799034607445
10,0.0008735583373442947,0.9990534617980887
11,0.0003215385299408731,0.9993750003280296
12,0.0002320047152153318,0.999607005043245
13,0.0001217094825192269,0.9997287145257642
14,8.16282637225491e-05,0.9998103427894868
15,5.972414065771014e-05,0.9998700669301445
16,4.571259127942539e-05,0.9999157795214239
17,3.2349164738640824e-05,0.9999481286861625
18,1.7387745352397876e-05,0.9999655164315149
19,1.239542696368772e-05,0.9999779118584786
20,1.006218904276522e-05,0.9999879740475214
21,3.5242429412928632e-06,0.9999914982904626
22,3.203422006568103e-06,0.9999947017124692
23,1.468714306898768e-06,0.9999961704267761
24,1.2235607243786316e-06,0.9999973939875005
25,7.247019028095297e-07,0.9999981186894034
26,5.719851584760173e-07,0.9999986906745618
27,4.24375724248849e-07,0.999999115050286
28,2.688305260055966e-07,0.999999383880812
29,1.2852326975889085e-07,0.9999995124040818
30,1.2685014467915178e-07,0.9999996392542265
31,8.63970935217957e-08,0.99999972565132
32,7.161997183101193e-08,0.9999997972712918
33,3.919471392788543e-08,0.9999998364660058
34,3.5023087158131284e-08,0.999999871489093
35,2.6764253049308774e-08,0.999999898253346
36,2.633900486901877e-08,0.9999999245923509
37,1.6115414817010707e-08,0.9999999407077657
38,1.0533830695892478e-08,0.9999999512415964
39,1.0492682416018412e-08,0.9999999617342787
40,7.905743614746072e-09,0.9999999696400224
41,6.394700379490874e-09,0.9999999760347227
42,5.679580031348845e-09,0.9999999817143027
43,3.3922373152407654e-09,0.99999998510654
44,2.088487516483188e-09,0.9999999871950275
45,1.577637451518911e-09,0.9999999887726649
46,1.34730389630495e-09,0.9999999901199689
47,1.1115206302653484e-09,0.9999999912314895
48,1.0038370810299103e-09,0.9999999922353267
49,8.396618829523943e-10,0.9999999930749885
50,7.023381302949264e-10,0.9999999937773266
51,6.459125619817786e-10,0.9999999944232392
52,5.009032497144413e-10,0.9999999949241424
53,4.619350869120869e-10,0.9999999953860774
54,3.8816706692256055e-10,0.9999999957742445
55,3.153422829813302e-10,0.9999999960895868
56,2.925285375279603e-10,0.9999999963821153
57,2.834911296655515e-10,0.9999999966656065
58,2.7531308280379494e-10,0.9999999969409196
59,2.6241400469275486e-10,0.9999999972033335
60,2.2553772789182097e-10,0.9999999974288712
61,1.8777773236332777e-10,0.9999999976166489
62,1.824961561483204e-10,0.9999999977991451
63,1.5496434823264913e-10,0.9999999979541094
64,1.440831867611604e-10,0.9999999980981926
65,1.3280746364417075e-10,0.999999998231
66,1.30280563886133e-10,0.9999999983612806
67,1.1726554017012203e-10,0.9999999984785461
68,1.0185862659761676e-10,0.9999999985804048
69,9.271640054358366e-11,0.9999999986731212
70,8.73559829633172e-11,0.9999999987604772
71,8.55963514156316e-11,0.9999999988460735
72,8.105936595096381e-11,0.9999999989271329
73,7.666230962494269e-11,0.9999999990037952
74,7.047192027397341e-11,0.9999999990742672
75,6.551505533255306e-11,0.9999999991397822
76,6.281812405647227e-11,0.9999999992026003
77,5.689581791431832e-11,0.9999999992594961
78,5.582544045234615e-11,0.9999999993153216
79,5.138549730140349e-11,0.999999999366707
80,4.584614831087728e-11,0.9999999994125531
81,4.515370826292244e-11,0.9999999994577068
82,4.3308558624848976e-11,0.9999999995010154
83,4.14755414212151e-11,0.9999999995424909
84,3.703464345863951e-11,0.9999999995795255
85,3.627672753627461e-11,0.9999999996158022
86,3.14842062316305e-11,0.9999999996472865
87,2.957784159103437e-11,0.9999999996768644
88,2.8538967716672883e-11,0.9999999997054033
89,2.5102073516227236e-11,0.9999999997305054
90,2.4921943699208172e-11,0.9999999997554273
91,2.3617076714981376e-11,0.9999999997790444
92,2.1008115835296457e-11,0.9999999998000525
93,2.0609282566340786e-11,0.9999999998206618
94,1.9275981630090327e-11,0.9999999998399378
95,1.744804109317907e-11,0.9999999998573859
96,1.5112385285412205e-11,0.9999999998724982
97,1.4023994702514318e-11,0.9999999998865222
98,1.3203428878753191e-11,0.9999999998997257
99,1.2035710975669948e-11,0.9999999999117614
100,1.1093943947066179e-11,0.9999999999228553
101,9.678024068137443e-12,0.9999999999325333
102,9.531944254181341e-12,0.9999999999420652
103,8.767586293698894e-12,0.9999999999508328
104,7.885765587309033e-12,0.9999999999587186
105,6.4751907865566704e-12,0.9999999999651937
106,6.0450633795877566e-12,0.9999999999712388
107,5.385243828139371e-12,0.999999999976624
108,4.3873089221460286e-12,0.9999999999810113
109,4.1741967007059755e-12,0.9999999999851855
110,2.7271747658896455e-12,0.9999999999879127
111,2.4163096455625056e-12,0.999999999990329
112,1.726610063410615e-12,0.9999999999920556
113,1.4760759088837618e-12,0.9999999999935316
114,1.0130409537745928e-12,0.9999999999945447
115,7.358363673036963e-13,0.9999999999952806
116,5.272800585716044e-13,0.9999999999958078
117,4.890559238934829e-13,0.9999999999962969
118,3.9465107315062423e-13,0.9999999999966915
119,3.5437962848646257e-13,0.9999999999970459
120,2.388843442262955e-13,0.9999999999972848
121,1.908750762498189e-13,0.9999999999974757
122,1.7320264426578144e-13,0.9999999999976489
123,1.657576906447812e-13,0.9999999999978146
124,1.4819385765126267e-13,0.9999999999979629
125,1.1803284911594555e-13,0.9999999999980809
126,1.0535714867396849e-13,0.9999999999981862
127,9.295062662874486e-14,0.9999999999982792
128,8.813307708024541e-14,0.9999999999983673
129,8.493830175003182e-14,0.9999999999984522
130,7.467657438396661e-14,0.999999999998527
131,7.005020623208007e-14,0.999999999998597
132,6.836519086250224e-14,0.9999999999986654
133,6.090097638420491e-14,0.9999999999987264
134,5.938384592551441e-14,0.9999999999987857
135,5.586378289138933e-14,0.9999999999988416
136,5.3914808704229073e-14,0.9999999999988956
137,5.164875107673601e-14,0.9999999999989472
138,4.9183135594135995e-14,0.9999999999989964
139,4.796503007338101e-14,0.9999999999990443
140,4.4195483281237776e-14,0.9999999999990885
141,4.3397222958995355e-14,0.9999999999991319
142,4.140080669991107e-14,0.9999999999991733
143,4.084166316411774e-14,0.9999999999992142
144,3.792661113263043e-14,0.9999999999992522
145,3.641457853778242e-14,0.9999999999992886
146,3.4548609161269094e-14,0.9999999999993231
147,3.3474306672774074e-14,0.9999999999993566
148,3.327572200874046e-14,0.9999999999993899
149,3.228747861993574e-14,0.9999999999994222
150,3.1094387824012556e-14,0.9999999999994533
151,2.8669228634738335e-14,0.999999999999482
152,2.7937234325473412e-14,0.99999999999951
153,2.6857065427685768e-14,0.9999999999995368
154,2.6513233322709476e-14,0.9999999999995633
155,2.5341231939213753e-14,0.9999999999995887
156,2.4515949097383206e-14,0.9999999999996132
157,2.3579397237093067e-14,0.9999999999996367
158,2.2976067184242962e-14,0.9999999999996597
159,2.0949003574039005e-14,0.9999999999996807
160,1.995513765069008e-14,0.9999999999997007
161,1.968225608097258e-14,0.9999999999997203
162,1.8958487956450795e-14,0.9999999999997393
163,1.840180961738093e-14,0.9999999999997577
164,1.739547368306882e-14,0.9999999999997752
165,1.7163137379483476e-14,0.9999999999997924
166,1.6172963060233205e-14,0.9999999999998086
167,1.5040735841573968e-14,0.9999999999998236
168,1.4018316119937584e-14,0.9999999999998376
169,1.3265540115162877e-14,0.9999999999998508
170,1.2970177403496186e-14,0.9999999999998638
171,1.2198658080236445e-14,0.999999999999876
172,1.17486280186739e-14,0.9999999999998878
173,1.150214169299901e-14,0.9999999999998993
174,1.1125688437024905e-14,0.9999999999999104
175,9.730297860556456e-15,0.9999999999999202
176,9.178641989474907e-15,0.9999999999999294
177,8.96672725984541e-15,0.9999999999999384
178,8.370916900083135e-15,0.9999999999999467
179,8.126238953597122e-15,0.9999999999999548
180,7.325821444204936e-15,0.9999999999999621
181,6.632434538379117e-15,0.9999999999999688
182,6.2960878538474905e-15,0.9999999999999751
183,5.789609719444927e-15,0.9999999999999809
184,5.452616773347011e-15,0.9999999999999863
185,5.0777527194179954e-15,0.9999999999999915
186,4.248174904161062e-15,0.9999999999999957
187,4.052323761948399e-15,0.9999999999999998
188,8.590149613624165e-33,0.9999999999999998
189,8.588190283149739e-33,0.9999999999999998
190,8.588190283149739e-33,0.9999999999999998
191,8.588190283149739e-33,0.9999999999999998
192,8.588190283149739e-33,0.9999999999999998
193,8.588190283149739e-33,0.9999999999999998
194,8.588190283149739e-33,0.9999999999999998
195,8.588190283149739e-33,0.9999999999999998
196,8.588190283149739e-33,0.9999999999999998
197,8.588190283149739e-33,0.9999999999999998
198,8.588190283149739e-33,0.9999999999999998
199,8.588190283149739e-33,0.9999999999999998
200,8.588190283149739e-33,0.9999999999999998
201,8.588190283149739e-33,0.9999999999999998
202,8.588190283149739e-33,0.9999999999999998
203,8.588190283149739e-33,0.9999999999999998
204,5.807505292647726e-34,0.9999999999999998
