density_group_id,case_count,local_case_id_min,local_case_id_max,unique_e_over_n_count,min_e_over_n_v_cm2,max_e_over_n_v_cm2,input_sum_min,input_sum_max,varied_species_count_within_group,max_species_range_within_group
1,29,1,29,29,1e-20,1e-14,1.0000000000000817,1.0000000000000817,0,0.0
2,29,1,29,29,1e-20,1e-14,1.0000053813383531,1.0000053813383531,0,0.0
3,29,1,29,29,1e-20,1e-14,1.0000098910374862,1.0000098910374862,0,0.0
4,29,1,29,29,1e-20,1e-14,1.0000163990494408,1.0000163990494408,0,0.0
5,29,1,29,29,1e-20,1e-14,1.0000233942766539,1.0000233942766539,0,0.0
6,29,1,29,29,1e-20,1e-14,1.0000304609592283,1.0000304609592283,0,0.0
7,29,1,29,29,1e-20,1e-14,1.0000274957720012,1.0000274957720012,0,0.0
8,29,1,29,29,1e-20,1e-14,1.0000344764679627,1.0000344764679627,0,0.0
9,29,1,29,29,1e-20,1e-14,1.0000413770327696,1.0000413770327696,0,0.0
10,29,1,29,29,1e-20,1e-14,1.0000482208517985,1.0000482208517985,0,0.0
11,29,1,29,29,1e-20,1e-14,0.9999501042627427,0.9999501042627427,0,0.0
12,29,1,29,29,1e-20,1e-14,1.0000105866344633,1.0000105866344633,0,0.0
13,29,1,29,29,1e-20,1e-14,1.0000153335074489,1.0000153335074489,0,0.0
14,29,1,29,29,1e-20,1e-14,1.0000220704044058,1.0000220704044058,0,0.0
15,29,1,29,29,1e-20,1e-14,1.0000293305949914,1.0000293305949914,0,0.0
16,29,1,29,29,1e-20,1e-14,1.0000366966550533,1.0000366966550533,0,0.0
17,29,1,29,29,1e-20,1e-14,1.000044035159925,1.000044035159925,0,0.0
18,29,1,29,29,1e-20,1e-14,1.0000513189365585,1.0000513189365585,0,0.0
19,29,1,29,29,1e-20,1e-14,0.9999485583269849,0.9999485583269849,0,0.0
20,29,1,29,29,1e-20,1e-14,0.9999557301459051,0.9999557301459051,0,0.0
21,29,1,29,29,1e-20,1e-14,0.99995792356612,0.99995792356612,0,0.0
