density_group_id,species_id,species_label,min_value,max_value,range_value,is_constant_within_group
1,1,E,4.089e-14,4.089e-14,0.0,True
1,2,AR3S,0.98,0.98,0.0,True
1,3,AR4SM,0.0,0.0,0.0,True
1,4,AR4SR,0.0,0.0,0.0,True
1,5,AR4SPM,0.0,0.0,0.0,True
1,6,AR4SPR,0.0,0.0,0.0,True
1,7,AR4P,0.0,0.0,0.0,True
1,8,AR4D,0.0,0.0,0.0,True
1,9,AR^,0.0,0.0,0.0,True
1,10,AR2*,0.0,0.0,0.0,True
1,11,AR2^,0.0,0.0,0.0,True
1,12,H,0.0,0.0,0.0,True
1,13,H*,0.0,0.0,0.0,True
1,14,H^,0.0,0.0,0.0,True
1,15,H-,0.0,0.0,0.0,True
1,16,H2,0.0,0.0,0.0,True
1,17,H2*,0.0,0.0,0.0,True
1,18,H2^,0.0,0.0,0.0,True
1,19,H3^,0.0,0.0,0.0,True
1,20,OH,0.0,0.0,0.0,True
1,21,OH*,0.0,0.0,0.0,True
1,22,OH^,0.0,0.0,0.0,True
1,23,OH-,0.0,0.0,0.0,True
1,24,H2O,0.02,0.02,0.0,True
1,25,H2OV,0.0,0.0,0.0,True
1,26,H2O^,4.089e-14,4.089e-14,0.0,True
1,27,HO2,0.0,0.0,0.0,True
1,28,H2O2,0.0,0.0,0.0,True
1,29,H3O^,0.0,0.0,0.0,True
1,30,O2,0.0,0.0,0.0,True
1,31,O2^,0.0,0.0,0.0,True
1,32,O2-,0.0,0.0,0.0,True
1,33,O,0.0,0.0,0.0,True
1,34,O^,0.0,0.0,0.0,True
1,35,O-,0.0,0.0,0.0,True
1,36,HV_096,0.0,0.0,0.0,True
1,37,HV_106,0.0,0.0,0.0,True
1,38,HV_126,0.0,0.0,0.0,True
1,39,ONE,0.0,0.0,0.0,True
1,40,TE,0.0,0.0,0.0,True
1,41,TGAS,0.0,0.0,0.0,True
1,42,EB,0.0,0.0,0.0,True
1,43,POS,0.0,0.0,0.0,True
1,44,POSITION,0.0,0.0,0.0,True
1,45,SPEED,0.0,0.0,0.0,True
1,46,EDEP,0.0,0.0,0.0,True
1,47,PDEP,0.0,0.0,0.0,True
1,48,M,0.0,0.0,0.0,True
1,49,MIS,0.0,0.0,0.0,True
2,1,E,8.259e-08,8.259e-08,0.0,True
2,2,AR3S,0.98,0.98,0.0,True
2,3,AR4SM,2.52e-07,2.52e-07,0.0,True
2,4,AR4SR,4.863e-07,4.863e-07,0.0,True
2,5,AR4SPM,5.622e-08,5.622e-08,0.0,True
2,6,AR4SPR,4.141e-07,4.141e-07,0.0,True
2,7,AR4P,5.513e-07,5.513e-07,0.0,True
2,8,AR4D,7.217e-09,7.217e-09,0.0,True
2,9,AR^,2.633e-08,2.633e-08,0.0,True
2,10,AR2*,1.629e-07,1.629e-07,0.0,True
2,11,AR2^,4.465e-09,4.465e-09,0.0,True
2,12,H,8.86e-07,8.86e-07,0.0,True
2,13,H*,2.396e-12,2.396e-12,0.0,True
2,14,H^,5.185e-14,5.185e-14,0.0,True
2,15,H-,2.576e-09,2.576e-09,0.0,True
2,16,H2,2.24e-08,2.24e-08,0.0,True
2,17,H2*,6.833e-14,6.833e-14,0.0,True
2,18,H2^,1.759e-15,1.759e-15,0.0,True
2,19,H3^,5.089e-15,5.089e-15,0.0,True
2,20,OH,9.662e-07,9.662e-07,0.0,True
2,21,OH*,2.905e-09,2.905e-09,0.0,True
2,22,OH^,1.808e-12,1.808e-12,0.0,True
2,23,OH-,1.97e-08,1.97e-08,0.0,True
2,24,H2O,0.02,0.02,0.0,True
2,25,H2OV,1.357e-06,1.357e-06,0.0,True
2,26,H2O^,1.493e-08,1.493e-08,0.0,True
2,27,HO2,2.061e-15,2.061e-15,0.0,True
2,28,H2O2,1.78e-11,1.78e-11,0.0,True
2,29,H3O^,6.262e-08,6.262e-08,0.0,True
2,30,O2,1.156e-16,1.156e-16,0.0,True
2,31,O2^,3.82e-18,3.82e-18,0.0,True
2,32,O2-,1.033e-24,1.033e-24,0.0,True
2,33,O,8.822e-11,8.822e-11,0.0,True
2,34,O^,3.933e-17,3.933e-17,0.0,True
2,35,O-,3.475e-09,3.475e-09,0.0,True
2,36,HV_096,0.0,0.0,0.0,True
2,37,HV_106,0.0,0.0,0.0,True
2,38,HV_126,0.0,0.0,0.0,True
2,39,ONE,0.0,0.0,0.0,True
2,40,TE,0.0,0.0,0.0,True
2,41,TGAS,0.0,0.0,0.0,True
2,42,EB,0.0,0.0,0.0,True
2,43,POS,0.0,0.0,0.0,True
2,44,POSITION,0.0,0.0,0.0,True
2,45,SPEED,0.0,0.0,0.0,True
2,46,EDEP,0.0,0.0,0.0,True
