species_id,species_label,count,min,max,mean,median,std,p01,p05,p25,p50,p75,p95,p99,sum,zero_count,nonzero_count,positive_count,negative_count,unique_count
1,E,609.0,4.089e-14,1.561e-07,1.2890143051857143e-07,1.427e-07,3.531347315765554e-08,4.089e-14,8.259e-08,1.288e-07,1.427e-07,1.484e-07,1.54e-07,1.561e-07,7.850097118581e-05,0.0,609.0,609.0,0.0,21.0
2,AR3S,609.0,0.9799,0.98,0.9799809523809524,0.98,3.926767262492578e-05,0.9799,0.9799,0.98,0.98,0.98,0.98,0.98,596.8084,0.0,609.0,609.0,0.0,2.0
3,AR4SM,609.0,0.0,7.455e-07,6.011904761904762e-07,7.118e-07,2.0123753059213597e-07,0.0,2.52e-07,5.621e-07,7.118e-07,7.244e-07,7.442e-07,7.455e-07,0.000366125,29.0,580.0,580.0,0.0,21.0
4,AR4SR,609.0,0.0,1.516e-06,1.2279857142857142e-06,1.454e-06,4.132530290105501e-07,0.0,4.863e-07,1.15e-06,1.454e-06,1.484e-06,1.515e-06,1.516e-06,0.0007478433,29.0,580.0,580.0,0.0,21.0
5,AR4SPM,609.0,0.0,1.687e-07,1.3710238095238096e-07,1.622e-07,4.5813023299656565e-08,0.0,5.622e-08,1.295e-07,1.622e-07,1.656e-07,1.687e-07,1.687e-07,8.349535e-05,29.0,580.0,580.0,0.0,17.0
6,AR4SPR,609.0,0.0,1.218e-06,9.93442857142857e-07,1.174e-06,3.3029328031373594e-07,0.0,4.141e-07,9.494e-07,1.174e-06,1.201e-06,1.218e-06,1.218e-06,0.0006050067,29.0,580.0,580.0,0.0,18.0
7,AR4P,609.0,0.0,7.191e-07,5.928428571428571e-07,6.851e-07,2.1028169671369192e-07,0.0,1.337e-07,6.745e-07,6.851e-07,6.942e-07,7.055e-07,7.191e-07,0.0003610413,29.0,580.0,580.0,0.0,21.0
8,AR4D,609.0,0.0,9.293e-09,7.736809523809524e-09,8.755e-09,2.4917579302104047e-09,0.0,2.707e-09,8.562e-09,8.755e-09,8.961e-09,9.147e-09,9.293e-09,4.711717e-06,29.0,580.0,580.0,0.0,21.0
9,AR^,609.0,0.0,2.778e-08,1.5027190476190475e-08,1.574e-08,6.57658521624832e-09,0.0,1.75e-09,1.503e-08,1.574e-08,1.651e-08,2.633e-08,2.778e-08,9.151559e-06,29.0,580.0,580.0,0.0,21.0
10,AR2*,609.0,0.0,9.919e-07,7.799619047619048e-07,9.222e-07,3.014008602322708e-07,0.0,1.629e-07,8.082e-07,9.222e-07,9.845e-07,9.917e-07,9.919e-07,0.0004749968,29.0,580.0,580.0,0.0,20.0
11,AR2^,609.0,0.0,4.646e-09,3.151042857142857e-09,3.42e-09,1.1367144553163604e-09,0.0,7.716e-10,3.313e-09,3.42e-09,3.506e-09,4.465e-09,4.646e-09,1.9189851e-06,29.0,580.0,580.0,0.0,20.0
12,H,609.0,0.0,6.449e-05,3.029257142857143e-05,3.037e-05,1.852178376057418e-05,0.0,8.86e-07,1.581e-05,3.037e-05,4.407e-05,5.957e-05,6.449e-05,0.018448176,29.0,580.0,580.0,0.0,21.0
13,H*,609.0,0.0,5.283e-09,1.6730064761904764e-09,1.176e-09,1.5767134821238772e-09,0.0,2.396e-12,3.634e-10,1.176e-09,2.733e-09,4.755e-09,5.283e-09,1.018860944e-06,29.0,580.0,580.0,0.0,21.0
14,H^,609.0,0.0,1.816e-12,7.488928571428571e-13,7.007e-13,5.066703347969618e-13,0.0,5.185e-14,3.289e-13,7.007e-13,1.066e-12,1.615e-12,1.816e-12,4.5607575e-10,29.0,580.0,580.0,0.0,21.0
15,H-,609.0,0.0,5.294e-09,4.328476190476191e-09,4.839e-09,1.2375536782604476e-09,0.0,2.576e-09,4.336e-09,4.839e-09,5.035e-09,5.223e-09,5.294e-09,2.636042e-06,29.0,580.0,580.0,0.0,21.0
16,H2,609.0,0.0,7.574e-06,3.6036523809523814e-06,9.248e-07,3.3519047060864973e-06,0.0,2.24e-08,4.049e-07,9.248e-07,7.045e-06,7.475e-06,7.574e-06,0.0021946243,29.0,580.0,580.0,0.0,21.0
17,H2*,609.0,0.0,1.12e-09,2.9839658714285714e-10,6.048e-11,3.7826964554316525e-10,0.0,6.833e-14,1.525e-11,6.048e-11,5.41e-10,1.05e-09,1.12e-09,1.8172352157e-07,29.0,580.0,580.0,0.0,21.0
18,H2^,609.0,0.0,5.68e-13,1.744875238095238e-13,3.788e-14,1.8528542784646997e-13,0.0,1.759e-15,1.488e-14,3.788e-14,3.514e-13,4.025e-13,5.68e-13,1.06262902e-10,29.0,580.0,580.0,0.0,21.0
19,H3^,609.0,0.0,2.83e-11,8.422423761904761e-12,2.922e-12,9.635968672345654e-12,0.0,5.089e-15,8.635e-13,2.922e-12,1.542e-11,2.681e-11,2.83e-11,5.1292560709999995e-09,29.0,580.0,580.0,0.0,21.0
20,OH,609.0,0.0,5.084e-05,2.3845057142857144e-05,2.194e-05,1.674006167618414e-05,0.0,9.662e-07,1.01e-05,2.194e-05,3.918e-05,5.01e-05,5.084e-05,0.0145216398,29.0,580.0,580.0,0.0,21.0
21,OH*,609.0,0.0,5.306e-07,2.40404e-07,2.328e-07,1.7231693342570281e-07,0.0,2.905e-09,9.113e-08,2.328e-07,3.777e-07,4.956e-07,5.306e-07,0.000146406036,29.0,580.0,580.0,0.0,21.0
22,OH^,609.0,0.0,3.747e-12,1.9476290476190476e-12,1.913e-12,1.1068336461830669e-12,0.0,7.202e-14,1.276e-12,1.913e-12,2.859e-12,3.626e-12,3.747e-12,1.18610609e-09,29.0,580.0,580.0,0.0,21.0
23,OH-,609.0,0.0,6.613e-07,3.4683238095238097e-07,3.448e-07,2.2060348024075022e-07,0.0,1.97e-08,1.756e-07,3.448e-07,5.569e-07,6.613e-07,6.613e-07,0.00021122092,29.0,580.0,580.0,0.0,20.0
