global_case_id,density_group_id,local_case_id,max_reaction_id,max_reaction_label,max_rate_const,count,min,max,mean,median,std,p01,p05,p25,p50,p75,p95,p99,sum,zero_count,nonzero_count,positive_count,negative_count,unique_count
1,1,1,63,AR+ -ELASTIC,0.006326,204.0,0.0,0.006326,0.00037214035771973624,0.0,0.0014884649142536622,0.0,0.0,0.0,0.0,1.24725e-09,0.006326,0.006326,0.07591663297482619,118.0,86.0,86.0,0.0,67.0
2,1,2,63,AR+ -ELASTIC,0.006318,204.0,0.0,0.006318,0.0003716697658390525,0.0,0.0014865825622234438,0.0,0.0,0.0,0.0,1.25125e-09,0.006318,0.006318,0.07582063223116671,106.0,98.0,98.0,0.0,79.0
3,1,3,63,AR+ -ELASTIC,0.006244,204.0,0.0,0.006244,0.000367316801531573,0.0,0.0014691708033063,0.0,0.0,0.0,0.0,1.28125e-09,0.006244,0.006244,0.0749326275124409,105.0,99.0,99.0,0.0,80.0
4,1,4,63,AR+ -ELASTIC,0.005426,204.0,0.0,0.005426,0.0003191988500397674,0.0,0.0012767002912893856,0.0,0.0,0.0,0.0,1.45425e-09,0.005426,0.005426,0.06511656540811255,105.0,99.0,99.0,0.0,80.0
5,1,5,63,AR+ -ELASTIC,0.00314,204.0,0.0,0.00314,0.00018472744893815944,0.0,0.0007388181423728322,0.0,0.0,0.0,0.0,2.36375e-09,0.00314,0.00314,0.03768439958338453,105.0,99.0,99.0,0.0,80.0
6,1,6,63,AR+ -ELASTIC,0.0008803,204.0,0.0,0.0008803,5.180464688911063e-05,9.062e-13,0.00020712384917894402,0.0,0.0,0.0,9.062e-13,7.1255e-09,0.0008803,0.0008803,0.010568147965378569,82.0,122.0,122.0,0.0,104.0
7,1,7,63,AR+ -ELASTIC,0.0001146,204.0,0.0,0.0001146,6.773373123610286e-06,8.088000000000001e-11,2.6956812807042267e-05,0.0,0.0,4.1080000000000006e-20,8.088000000000001e-11,2.8072500000000002e-08,0.0001146,0.0001146,0.0013817681172164982,29.0,175.0,175.0,0.0,158.0
8,1,8,63,AR+ -ELASTIC,5.092e-05,204.0,0.0,5.092e-05,3.0357408357957803e-06,2.2905e-10,1.1971631413651696e-05,0.0,2.2050000000000052e-41,5.32575e-15,2.2905e-10,3.2575e-08,5.092e-05,5.092e-05,0.0006192911305023392,11.0,193.0,193.0,0.0,176.0
9,1,9,63,AR+ -ELASTIC,3.641e-05,204.0,0.0,3.641e-05,2.1871058416950156e-06,3.588e-10,8.55671193353594e-06,0.0,1.2007500000001427e-31,2.99425e-13,3.588e-10,3.266e-08,3.641e-05,3.641e-05,0.00044616959170578317,10.0,194.0,194.0,0.0,175.0
10,1,10,63,AR+ -ELASTIC,3.159e-05,204.0,0.0,3.159e-05,1.9060286330269274e-06,5.537000000000001e-10,7.422249534790907e-06,0.0,3.2475000018351573e-26,1.08115e-12,5.537000000000001e-10,3.252e-08,3.159e-05,3.159e-05,0.0003888298411374932,7.0,197.0,197.0,0.0,180.0
