bin_floor_log10,bin_start,bin_end_exclusive,count
-46,1e-46,1e-45,1
-44,1e-44,1e-43,1
-40,1e-40,1e-39,1
-39,1e-39,1e-38,4
-38,1e-38,1e-37,1
-37,1e-37,1e-36,1
-36,1e-36,1e-35,1
-35,1e-35,1e-34,4
-34,1e-34,1e-33,3
-33,1e-33,1e-32,3
-32,1e-32,1e-31,2
-31,1e-31,1e-30,6
-30,1e-30,1e-29,8
-29,1e-29,1e-28,8
-28,1e-28,1e-27,11
-27,1e-27,1e-26,32
-26,1e-26,1e-25,37
-25,1e-25,1e-24,49
-24,1e-24,1e-23,54
-23,1e-23,1e-22,61
-22,1e-22,1e-21,128
-21,1e-21,1e-20,155
-20,1e-20,1e-19,372
-19,1e-19,1e-18,2248
-18,1e-18,1e-17,957
-17,1e-17,1e-16,1048
-16,1e-16,1e-15,1522
-15,1e-15,1e-14,1630
-14,1e-14,1e-13,2093
-13,1e-13,1e-12,4075
-12,1e-12,1e-11,7281
-11,1e-11,1e-10,12049
-10,1e-10,1e-9,16486
-9,1e-9,1e-8,14387
-8,1e-8,1e-7,21948
-7,1e-7,1e-6,13566
-6,1e-6,1e-5,1068
-5,1e-5,1e-4,5052
-4,1e-4,1e-3,264
-3,1e-3,1e-2,1260
