reaction_id,reaction_label,rate_const_count,rate_const_min,rate_const_max,rate_const_mean,rate_const_median,rate_const_std,rate_const_p01,rate_const_p05,rate_const_p25,rate_const_p50,rate_const_p75,rate_const_p95,rate_const_p99,rate_const_sum,rate_const_zero_count,rate_const_nonzero_count,rate_const_positive_count,rate_const_negative_count,rate_const_unique_count,super_rate_count,super_rate_min,super_rate_max,super_rate_mean,super_rate_median,super_rate_std,super_rate_p01,super_rate_p05,super_rate_p25,super_rate_p50,super_rate_p75,super_rate_p95,super_rate_p99,super_rate_sum,super_rate_zero_count,super_rate_nonzero_count,super_rate_positive_count,super_rate_negative_count,super_rate_unique_count,frac_power_count,frac_power_min,frac_power_max,frac_power_mean,frac_power_median,frac_power_std,frac_power_p01,frac_power_p05,frac_power_p25,frac_power_p50,frac_power_p75,frac_power_p95,frac_power_p99,frac_power_sum,frac_power_zero_count,frac_power_nonzero_count,frac_power_positive_count,frac_power_negative_count,frac_power_unique_count
1,AR3S-ELASTIC,609.0,1.337e-09,1.912e-07,1.1254105747126438e-07,1.35e-07,6.615178137251452e-08,1.36388e-09,1.7488e-09,6.513e-08,1.35e-07,1.64e-07,1.896e-07,1.912e-07,6.8537504e-05,0.0,609.0,609.0,0.0,153.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0,609.0,-1.186,0.3085,0.012702897044334974,0.002843,0.0885251319092661,-0.22278799999999999,-0.10218799999999999,0.000781,0.002843,0.02665,0.12046,0.20817599999999936,7.7360643,0.0,609.0,573.0,36.0,233.0
2,AR3S > AR4SM,609.0,0.0,8.322e-10,1.501506119427749e-10,3.131e-11,2.2569498135580902e-10,0.0,0.0,1.465e-14,3.131e-11,2.054e-10,7.409e-10,8.322e-10,9.144172267314991e-08,126.0,483.0,483.0,0.0,132.0,609.0,0.0,2.095e-09,1.4480609195402299e-09,1.856e-09,8.088955275553142e-10,0.0,0.0,1.162e-09,1.856e-09,2.033e-09,2.095e-09,2.095e-09,8.818691e-07,126.0,483.0,483.0,0.0,57.0,609.0,0.0,0.1218,0.05118575695018062,0.05108,0.04103602405105006,0.0,0.0,0.002203,0.05108,0.08622,0.1172,0.12149199999999999,31.17212598266,126.0,483.0,483.0,0.0,148.0
3,AR3S > AR4SR,609.0,0.0,1.259e-09,1.9824647811227409e-10,4.721e-11,3.128295245517132e-10,0.0,0.0,2.453e-14,4.721e-11,2.508e-10,1.023e-09,1.259e-09,1.2073210517037492e-07,126.0,483.0,483.0,0.0,143.0,609.0,0.0,2.754e-09,1.6563178981937602e-09,2.029e-09,9.243376767795076e-10,0.0,0.0,1.445e-09,2.029e-09,2.264e-09,2.664e-09,2.754e-09,1.0086976e-06,126.0,483.0,483.0,0.0,54.0,609.0,0.0,0.2003,0.07455060026128078,0.06629,0.0649498725531642,0.0,0.0,0.003713,0.06629,0.1209,0.1896,0.19969199999999998,45.40131555912,126.0,483.0,483.0,0.0,142.0
4,AR3S > AR4SPM,609.0,0.0,1.504e-10,2.724918705874227e-11,5.469e-12,4.0964299447250185e-11,0.0,0.0,1.796e-15,5.469e-12,3.75e-11,1.343e-10,1.504e-10,1.6594754918774042e-08,126.0,483.0,483.0,0.0,139.0,609.0,0.0,3.876e-10,2.707297208538588e-10,3.503e-10,1.5072607305182215e-10,0.0,0.0,2.24e-10,3.503e-10,3.76e-10,3.871e-10,3.876e-10,1.648744e-07,126.0,483.0,483.0,0.0,70.0,609.0,0.0,0.02047,0.009001982617472905,0.009477,0.0070958277032492105,0.0,0.0,0.0002741,0.009477,0.01438,0.0202,0.02041,5.4822074140409995,126.0,483.0,483.0,0.0,134.0
5,AR3S > AR4SPR,609.0,0.0,2.678e-09,3.198458871090552e-10,3.741e-11,6.224555701084698e-10,0.0,0.0,8.925e-15,3.741e-11,2.991e-10,1.998e-09,2.678e-09,1.947861452494146e-07,126.0,483.0,483.0,0.0,140.0,609.0,0.0,6.184e-09,2.7606922824302133e-09,3.106e-09,1.759346908446141e-09,0.0,0.0,1.738e-09,3.106e-09,3.844e-09,5.644e-09,6.184e-09,1.6812616e-06,126.0,483.0,483.0,0.0,70.0,609.0,0.0,0.1349,0.06821527284694581,0.08144,0.04770061915800913,0.0,0.0,0.001375,0.08144,0.1056,0.1322,0.1347,41.54310116379,126.0,483.0,483.0,0.0,125.0
6,AR3S > AR4P,609.0,0.0,4.93e-09,7.247078145228245e-10,8.567e-11,1.2398812274969006e-09,0.0,0.0,2.084e-15,8.567e-11,8.562e-10,4.057e-09,4.93e-09,4.413470590444001e-07,126.0,483.0,483.0,0.0,138.0,609.0,0.0,1.183e-08,8.127343185550082e-09,1.045e-08,4.575003083128022e-09,0.0,0.0,7.046e-09,1.045e-08,1.126e-08,1.181e-08,1.183e-08,4.949552e-06,126.0,483.0,483.0,0.0,74.0,609.0,0.0,0.3302,0.16869918916258742,0.2171,0.12847442963835112,0.0,0.0,0.000352,0.2171,0.2872,0.3282,0.33,102.73780620001574,126.0,483.0,483.0,0.0,138.0
7,AR3S > AR3D,609.0,0.0,2.946e-09,3.65283615540243e-10,2.358e-11,7.033477091219747e-10,0.0,0.0,4.008e-16,2.358e-11,3.577e-10,2.274e-09,2.946e-09,2.22457721864008e-07,126.0,483.0,483.0,0.0,154.0,609.0,0.0,7.574e-09,4.459746798029557e-09,5.568e-09,2.5977985191571475e-09,0.0,0.0,3.589e-09,5.568e-09,6.145e-09,7.272e-09,7.574e-09,2.7159858e-06,126.0,483.0,483.0,0.0,71.0,609.0,0.0,0.1263,0.06456451642807882,0.08131,0.05260240927980445,0.0,0.0,7.47e-05,0.08131,0.1169,0.126,0.1263,39.3197905047,126.0,483.0,483.0,0.0,158.0
8,AR3S > AR5S,609.0,0.0,5.537e-10,6.753759075649063e-11,3.574e-12,1.3210280708462594e-10,0.0,0.0,6.732e-17,3.574e-12,6.413e-11,4.269e-10,5.537e-10,4.1130392770702796e-08,126.0,483.0,483.0,0.0,152.0,609.0,0.0,1.45e-09,8.646720853858785e-10,1.086e-09,5.05037728832466e-10,0.0,0.0,6.744e-10,1.086e-09,1.195e-09,1.397e-09,1.45e-09,5.265853e-07,126.0,483.0,483.0,0.0,64.0,609.0,0.0,0.02247,0.011250500750147784,0.01455,0.009480370414451067,0.0,0.0,1.239e-05,0.01455,0.02104,0.02242,0.02247,6.85155495684,126.0,483.0,483.0,0.0,142.0
9,AR3S > AR5P,609.0,0.0,1.616e-09,2.0426499581242182e-10,9.307e-12,3.9437036550450844e-10,0.0,0.0,1.905e-16,9.307e-12,1.966e-10,1.287e-09,1.616e-09,1.243973824497649e-07,126.0,483.0,483.0,0.0,153.0,609.0,0.0,4.308e-09,2.852907356321839e-09,3.673e-09,1.659103503368727e-09,0.0,0.0,2.084e-09,3.673e-09,4.008e-09,4.297e-09,4.308e-09,1.73742058e-06,126.0,483.0,483.0,0.0,68.0,609.0,0.0,0.06889,0.0332160940681445,0.03815,0.028895531250072916,0.0,0.0,3.53e-05,0.03815,0.06481,0.06873,0.06888,20.2286012875,126.0,483.0,483.0,0.0,168.0
10,AR3S > AR4D,609.0,0.0,4.718e-10,4.37584090858834e-11,5.599e-13,1.0557949341666773e-10,0.0,0.0,1.083e-17,5.599e-13,2.34e-11,3.275e-10,4.718e-10,2.6648871133302992e-08,126.0,483.0,483.0,0.0,152.0,609.0,0.0,1.345e-09,5.609753922824303e-10,6.285e-10,3.8063588114858804e-10,0.0,0.0,2.305e-10,6.285e-10,7.91e-10,1.213e-09,1.345e-09,3.416340139e-07,126.0,483.0,483.0,0.0,95.0,609.0,0.0,0.01345,0.004422048851356437,0.002384,0.00468488125371201,0.0,0.0,1.644e-06,0.002384,0.008517,0.01305,0.01345,2.69302775047607,126.0,483.0,483.0,0.0,164.0
11,AR3S > AR6S,609.0,0.0,2.17e-10,1.9954597222058727e-11,2.268e-13,4.849506472064512e-11,0.0,0.0,4.6e-18,2.268e-13,1.037e-11,1.502e-10,2.17e-10,1.2152349708233765e-08,126.0,483.0,483.0,0.0,145.0,609.0,0.0,6.232e-10,2.5948298988505746e-10,2.907e-10,1.7631742460429825e-10,0.0,0.0,1.043e-10,2.907e-10,3.659e-10,5.621e-10,6.232e-10,1.5802514084e-07,126.0,483.0,483.0,0.0,73.0,609.0,0.0,0.00624,0.001981480654191724,0.000974,0.0021451130937558036,0.0,0.0,7.085e-07,0.000974,0.003807,0.006036,0.00624,1.20672171840276,126.0,483.0,483.0,0.0,157.0
12,AR3S > AR-RYD,609.0,0.0,3.223e-10,2.932165258649382e-11,2.869e-13,7.189527330239469e-11,0.0,0.0,6.172e-18,2.869e-13,1.47e-11,2.222e-10,3.223e-10,1.7856886425174735e-08,147.0,462.0,462.0,0.0,128.0,609.0,0.0,9.373e-10,3.8845205254515603e-10,4.346e-10,2.6482891196153336e-10,0.0,0.0,1.508e-10,4.346e-10,5.48e-10,8.448e-10,9.373e-10,2.365673e-07,147.0,462.0,462.0,0.0,62.0,609.0,0.0,0.009368,0.002851973643721918,0.001245,0.0031694905264655075,0.0,0.0,9.676e-07,0.001245,0.005454,0.009027,0.009368,1.736851949026648,147.0,462.0,462.0,0.0,140.0
13,AR3S > AR^,609.0,0.0,1.837e-08,1.5674212763699759e-09,5.767e-12,4.047726933763688e-09,0.0,0.0,1.701e-16,5.767e-12,6.213e-10,1.232e-08,1.837e-08,9.545595573093153e-07,147.0,462.0,462.0,0.0,143.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0,609.0,0.0,0.5696,0.13715302974643728,0.02671,0.17640937286900812,0.0,0.0,2.87e-05,0.02671,0.2459,0.5338,0.5696,83.52619511558031,147.0,462.0,462.0,0.0,142.0
