global_case_id,density_group_id,local_case_id,gas_ion_temperature_k,electron_fractional_ionization,initial_electron_temperature_ev,maximum_iterations_for_edf,e_over_n_v_cm2,average_electron_energy_ev,equivalent_electron_temperature_ev,convergence_for_eedf_raw,convergence_for_eedf,updated_electron_density_per_cc,updated_fractional_ionization,drift_velocity_cm_per_s,mobility_cm2_per_v_s,diffusion_coefficient_cm2_per_s,ionization_coefficient_per_cm,mom_transfer_collision_frequency_per_s,maximum_time_for_eedf_integration_s,number_of_updates_for_eedf,collisional_power_deposition_ev_cm3_per_s,je_over_collision_power,total_power_loss_ev_cm3_per_s,input_mole_fraction_sum,input_nonzero_species_count
1,1,1,300.0,4.089e-14,0.1,1000,1e-20,0.06389,0.04259,1.317-316,1.317e-316,96540000.0,4.089e-14,2660.0,9896.0,689.0,0.0,134700000000.0,1e-06,1001,2.471e-14,0.001076,2.471e-14,1.0000000000000817,4
2,1,2,300.0,4.089e-14,0.1,1000,1e-19,0.06407,0.04271,1.317-316,1.317e-316,96540000.0,4.089e-14,26660.0,9920.0,692.0,0.0,134600000000.0,1e-06,1001,2.801e-14,0.09519,2.801e-14,1.0000000000000817,4
3,1,3,300.0,4.089e-14,0.1,1000,3e-19,0.06548,0.04365,1.317-316,1.317e-316,96540000.0,4.089e-14,81520.0,10110.0,716.4,0.0,134000000000.0,1e-06,1001,5.492e-14,0.4453,5.492e-14,1.0000000000000817,4
4,1,4,300.0,4.089e-14,0.1,1000,1e-18,0.07994,0.0533,1.317-316,1.317e-316,96540000.0,4.089e-14,323100.0,12020.0,966.6,0.0,127000000000.0,1e-06,1001,4.207e-13,0.768,4.207e-13,1.0000000000000817,4
5,1,5,300.0,4.089e-14,0.1,1000,3e-18,0.1486,0.09905,1.317-316,1.317e-316,96540000.0,4.089e-14,1408000.0,17460.0,2195.0,0.0,105500000000.0,1e-06,1001,5.219e-12,0.8092,5.219e-12,1.0000000000000817,4
6,1,6,300.0,4.089e-14,0.5,1000,1e-17,0.6472,0.4314,1.317-316,1.317e-316,96540000.0,4.089e-14,2953000.0,10990.0,4698.0,0.0,175200000000.0,1e-06,1001,3.338e-11,0.8848,3.338e-11,1.0000000000000817,4
7,1,7,300.0,4.089e-14,1.0,1000,3e-17,2.266,1.51,1.317-316,1.317e-316,96540000.0,4.089e-14,1446000.0,1793.0,3890.0,4.577e-14,879500000000.0,1e-06,1001,4.463e-11,0.9718,4.463e-11,1.0000000000000817,4
8,1,8,300.0,4.089e-14,1.0,1000,6e-17,3.592,2.395,1.317-316,1.317e-316,96520000.0,4.089e-14,1190000.0,737.9,3152.0,1.528e-05,1766000000000.0,1e-06,1001,7.449e-11,0.9585,7.449e-11,1.0000000000000817,4
9,1,9,300.0,4.089e-14,1.0,1000,1e-16,4.498,2.999,1.317-316,1.317e-316,96470000.0,4.089e-14,1377000.0,512.2,2834.0,0.006236,2459000000000.0,7.56e-07,252,1.43e-10,0.9626,1.43e-10,1.0000000000000817,4
10,1,10,300.0,4.089e-14,1.0,1000,1.5e-16,4.999,3.333,1.317-316,1.317e-316,96460000.0,4.089e-14,1795000.0,445.2,2703.0,0.08175,2847000000000.0,3.9e-07,130,2.746e-10,0.9806,2.746e-10,1.0000000000000817,4
11,1,11,300.0,4.089e-14,1.0,1000,2e-16,5.265,3.51,1.317-316,1.317e-316,96460000.0,4.089e-14,2253000.0,419.0,2645.0,0.3079,3047000000000.0,2.46e-07,82,4.546e-10,0.9911,4.546e-10,1.0000000000000817,4
12,1,12,300.0,4.089e-14,1.0,1000,3e-16,5.578,3.719,1.317-316,1.317e-316,96460000.0,4.089e-14,3164000.0,392.3,2585.0,1.799,3273000000000.0,1.32e-07,44,9.483e-10,1.001,9.483e-10,1.0000000000000817,4
