global_case_id,density_group_id,local_case_id,species_id,species_label,fractional_power_deposition
1,1,1,1,E,0.0
1,1,1,2,AR3S,0.09778
1,1,1,3,AR4SM,0.0
1,1,1,4,AR4SR,0.0
1,1,1,5,AR4SPM,0.0
1,1,1,6,AR4SPR,0.0
1,1,1,7,AR4P,0.0
1,1,1,8,AR4D,0.0
1,1,1,9,AR^,0.0
1,1,1,10,AR2*,0.0
1,1,1,11,AR2^,0.0
1,1,1,12,H,0.0
1,1,1,13,H*,0.0
1,1,1,14,H^,0.0
1,1,1,15,H-,0.0
1,1,1,16,H2,0.0
1,1,1,17,H2*,0.0
1,1,1,18,H2^,0.0
1,1,1,19,H3^,0.0
1,1,1,20,OH,0.0
1,1,1,21,OH*,0.0
1,1,1,22,OH^,0.0
1,1,1,23,OH-,0.0
1,1,1,24,H2O,0.9022
1,1,1,25,H2OV,0.0
1,1,1,26,H2O^,2.183e-08
1,1,1,27,HO2,0.0
1,1,1,28,H2O2,0.0
1,1,1,29,H3O^,0.0
1,1,1,30,O2,0.0
1,1,1,31,O2^,0.0
1,1,1,32,O2-,0.0
1,1,1,33,O,0.0
1,1,1,34,O^,0.0
1,1,1,35,O-,0.0
1,1,1,36,HV_096,0.0
1,1,1,37,HV_106,0.0
1,1,1,38,HV_126,0.0
1,1,1,39,ONE,0.0
1,1,1,40,TE,0.0
1,1,1,41,TGAS,0.0
1,1,1,42,EB,0.0
1,1,1,43,POS,0.0
1,1,1,44,POSITION,0.0
1,1,1,45,SPEED,0.0
1,1,1,46,EDEP,0.0
1,1,1,47,PDEP,0.0
1,1,1,48,M,0.0
1,1,1,49,MIS,0.0
2,1,2,1,E,0.0
2,1,2,2,AR3S,0.08632
2,1,2,3,AR4SM,0.0
2,1,2,4,AR4SR,0.0
2,1,2,5,AR4SPM,0.0
2,1,2,6,AR4SPR,0.0
2,1,2,7,AR4P,0.0
2,1,2,8,AR4D,0.0
2,1,2,9,AR^,0.0
2,1,2,10,AR2*,0.0
2,1,2,11,AR2^,0.0
2,1,2,12,H,0.0
2,1,2,13,H*,0.0
2,1,2,14,H^,0.0
2,1,2,15,H-,0.0
2,1,2,16,H2,0.0
2,1,2,17,H2*,0.0
2,1,2,18,H2^,0.0
2,1,2,19,H3^,0.0
2,1,2,20,OH,0.0
2,1,2,21,OH*,0.0
2,1,2,22,OH^,0.0
2,1,2,23,OH-,0.0
2,1,2,24,H2O,0.9137
2,1,2,25,H2OV,0.0
2,1,2,26,H2O^,1.925e-08
2,1,2,27,HO2,0.0
2,1,2,28,H2O2,0.0
2,1,2,29,H3O^,0.0
2,1,2,30,O2,0.0
2,1,2,31,O2^,0.0
2,1,2,32,O2-,0.0
2,1,2,33,O,0.0
2,1,2,34,O^,0.0
2,1,2,35,O-,0.0
2,1,2,36,HV_096,0.0
2,1,2,37,HV_106,0.0
2,1,2,38,HV_126,0.0
2,1,2,39,ONE,0.0
2,1,2,40,TE,0.0
2,1,2,41,TGAS,0.0
2,1,2,42,EB,0.0
2,1,2,43,POS,0.0
2,1,2,44,POSITION,0.0
2,1,2,45,SPEED,0.0
2,1,2,46,EDEP,0.0
2,1,2,47,PDEP,0.0
2,1,2,48,M,0.0
2,1,2,49,MIS,0.0
3,1,3,1,E,0.0
3,1,3,2,AR3S,0.04428
3,1,3,3,AR4SM,0.0
3,1,3,4,AR4SR,0.0
3,1,3,5,AR4SPM,0.0
3,1,3,6,AR4SPR,0.0
3,1,3,7,AR4P,0.0
3,1,3,8,AR4D,0.0
3,1,3,9,AR^,0.0
3,1,3,10,AR2*,0.0
3,1,3,11,AR2^,0.0
3,1,3,12,H,0.0
3,1,3,13,H*,0.0
3,1,3,14,H^,0.0
3,1,3,15,H-,0.0
3,1,3,16,H2,0.0
3,1,3,17,H2*,0.0
3,1,3,18,H2^,0.0
3,1,3,19,H3^,0.0
3,1,3,20,OH,0.0
3,1,3,21,OH*,0.0
3,1,3,22,OH^,0.0
3,1,3,23,OH-,0.0
3,1,3,24,H2O,0.9557
3,1,3,25,H2OV,0.0
3,1,3,26,H2O^,9.761e-09
3,1,3,27,HO2,0.0
3,1,3,28,H2O2,0.0
3,1,3,29,H3O^,0.0
3,1,3,30,O2,0.0
3,1,3,31,O2^,0.0
3,1,3,32,O2-,0.0
3,1,3,33,O,0.0
3,1,3,34,O^,0.0
3,1,3,35,O-,0.0
3,1,3,36,HV_096,0.0
3,1,3,37,HV_106,0.0
3,1,3,38,HV_126,0.0
3,1,3,39,ONE,0.0
3,1,3,40,TE,0.0
3,1,3,41,TGAS,0.0
3,1,3,42,EB,0.0
3,1,3,43,POS,0.0
3,1,3,44,POSITION,0.0
3,1,3,45,SPEED,0.0
3,1,3,46,EDEP,0.0
3,1,3,47,PDEP,0.0
3,1,3,48,M,0.0
3,1,3,49,MIS,0.0
4,1,4,1,E,0.0
4,1,4,2,AR3S,0.006153
4,1,4,3,AR4SM,0.0
4,1,4,4,AR4SR,0.0
4,1,4,5,AR4SPM,0.0
4,1,4,6,AR4SPR,0.0
4,1,4,7,AR4P,0.0
4,1,4,8,AR4D,0.0
4,1,4,9,AR^,0.0
4,1,4,10,AR2*,0.0
4,1,4,11,AR2^,0.0
4,1,4,12,H,0.0
4,1,4,13,H*,0.0
4,1,4,14,H^,0.0
4,1,4,15,H-,0.0
4,1,4,16,H2,0.0
4,1,4,17,H2*,0.0
4,1,4,18,H2^,0.0
4,1,4,19,H3^,0.0
4,1,4,20,OH,0.0
4,1,4,21,OH*,0.0
4,1,4,22,OH^,0.0
4,1,4,23,OH-,0.0
