species_id,species_label,species_column
1,E,input_01_e
2,AR3S,input_02_ar3s
3,AR4SM,input_03_ar4sm
4,AR4SR,input_04_ar4sr
5,AR4SPM,input_05_ar4spm
6,AR4SPR,input_06_ar4spr
7,AR4P,input_07_ar4p
8,AR4D,input_08_ar4d
9,AR^,input_09_ar
10,AR2*,input_10_ar2
11,AR2^,input_11_ar2
12,H,input_12_h
13,H*,input_13_h
14,H^,input_14_h
15,H-,input_15_h
16,H2,input_16_h2
17,H2*,input_17_h2
18,H2^,input_18_h2
19,H3^,input_19_h3
20,OH,input_20_oh
21,OH*,input_21_oh
22,OH^,input_22_oh
23,OH-,input_23_oh
24,H2O,input_24_h2o
25,H2OV,input_25_h2ov
26,H2O^,input_26_h2o
27,HO2,input_27_ho2
28,H2O2,input_28_h2o2
29,H3O^,input_29_h3o
30,O2,input_30_o2
31,O2^,input_31_o2
32,O2-,input_32_o2
33,O,input_33_o
34,O^,input_34_o
35,O-,input_35_o
36,HV_096,input_36_hv_096
37,HV_106,input_37_hv_106
38,HV_126,input_38_hv_126
39,ONE,input_39_one
40,TE,input_40_te
41,TGAS,input_41_tgas
42,EB,input_42_eb
43,POS,input_43_pos
44,POSITION,input_44_position
45,SPEED,input_45_speed
46,EDEP,input_46_edep
47,PDEP,input_47_pdep
48,M,input_48_m
49,MIS,input_49_mis
